,BNS_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
0,1,396.73,0.085,0.071,0.075,9861,5404.371809,0.053833466
1,3,178.7637536,0.651,0.57,0.642,1273,530.0653675,0.577129844
2,6,326.9886464,0.303,0.254,0.286,2854,1644.73697,0.247341384
3,8,209.48,0.729,0.666,0.71,558,350.2601658,0.614613386
4,15,113.5843708,0.946,0.867,0.93,427,204.1577843,0.87817948
5,33,298.21,0.22,0.18,0.22,5220,2764.12959,0.183245768
6,40,103.48,0.64,0.37,0.64,4867,2713.87698,0.506842589
7,44,439.317106,0.427,0.395,0.393,4910,2733.561001,0.418300813
8,55,228.32,0.32,0.27,0.32,6234,4297.673481,0.180972813
9,74,137.5571744,0.814,0.351,0.356,582,342.1164104,0.779513399
10,77,214.84,0.22,0.15,0.22,4179,1740.035956,0.182602358
11,79,197.5301315,0.617,0.202,0.211,1872,776.3844619,0.542887244
12,81,364.04,0.115,0.089,0.101,8916,4828.64371,0.098219956
13,82,296.0357192,0.413,0.388,0.211,2224,1263.908215,0.375229186
14,83,227.1986831,0.631,0.601,0.627,1904,1087.683118,0.559752056
15,86,295.8448852,0.245,0.2,0.237,3601,1673.102417,0.20109589
16,88,424.51,0.19,0.17,0.18,4775,2948.380417,0.180831774
17,99,352.3691492,0.175,0.148,0.164,6617,3566.020661,0.143506662
18,107,299.9271531,0.286,0.258,0.272,6557,2298.034011,0.263501588
19,111,320.88,0.51,0.46,0.48,4914,2341.191981,0.485375014
20,115,314.7812123,0.314,0.279,0.297,2114,1208.869018,0.258713013
21,122,355.3945051,0.275,0.259,0.267,3176,1720.640442,0.25191382
22,129,220.1136029,0.707,0.618,0.655,751,305.7776886,0.639408359
23,137,248.8532836,0.403,0.337,0.39,2150,888.5479723,0.327887767
24,147,240.3968159,0.27,0.224,0.264,4875,2916.802054,0.19466259
25,149,262.54,0.665,0.606,0.651,1176,613.1552776,0.569022277
26,152,151.683194,0.445412743,0.316708051,0.437713189,1599,921.5032981,0.359041286
27,157,137.721338,0.981407599,0.928650943,0.928650943,151,58.60618821,0.974011584
28,160,167.54,0.925,0.868,0.854,212,84.37507606,0.899663694
29,162,397.6493524,0.394347222,0.366605371,0.371704524,6021,3454.840696,0.383880364
30,165,308.3823302,0.553934165,0.520647814,0.520103262,3097,1277.625394,0.535772619
31,167,175.3282313,0.560994653,0.454778001,0.554659635,2090,1062.596155,0.474796614
32,173,226.4474161,0.935117328,0.912162997,0.907006778,183,145.6696215,0.894100685
33,176,82.25078535,0.781819791,0.401404797,0.753217438,1088,528.8851131,0.470995149
34,177,264.8197038,0.447769684,0.400421212,0.434834421,3028,1915.382419,0.417523432
35,186,221.4479773,0.925386779,0.904235248,0.914762976,290,120.044987,0.911411114
36,190,278.743204,0.309781898,0.239455747,0.299426062,3786,1779.220402,0.278390883
37,195,276.0360435,0.557444712,0.51967718,0.545688411,1137,471.0133054,0.526817197
38,201,355.4372761,0.532742479,0.49918833,0.510928294,2678,1757.202101,0.520308564
39,207,189.1507832,0.363475865,0.262713272,0.359310018,2776,1487.854932,0.275260262
40,214,216.4754284,0.251538775,0.175754968,0.250898746,4365,1822.234119,0.122623838
41,221,283.9682146,0.396298597,0.366158377,0.384918265,3685,2414.315298,0.357997474
42,225,157.16,0.354,0.262,0.351,2613,1284.011882,0.291474029
43,229,243.4194326,0.644444535,0.551583164,0.613591359,2460,1247.778072,0.601187108
44,234,352.095233,0.362798134,0.31178568,0.333874643,3840,2137.388273,0.346667984
45,235,175.4133673,0.303958479,0.153871555,0.301998435,4528,2898.835959,0.183474098
46,237,410.66,0.196,0.184,0.179,9310,4690.042501,0.191392861
47,238,419.03,0.181,0.156,0.158,6024,4535.166895,0.169386227
48,240,361.0892704,0.248427839,0.22227101,0.226269891,5247,2959.278099,0.222494658
49,255,299.2286088,0.362967973,0.309816048,0.348487241,2943,1225.563061,0.32309263
50,258,211.7011769,0.664392105,0.626578206,0.629167167,746,307.0628545,0.633868019
51,262,280.1929662,0.846713026,0.782624551,0.798239279,467,189.4964018,0.836239328
52,264,178.8467536,0.994283268,0.99117498,0.990026473,195,137.6701194,0.988499114
53,266,169.2227772,0.775863555,0.734612467,0.758534547,732,313.7771907,0.733530405
54,268,261.2877108,0.721142933,0.667715065,0.698715923,1266,555.7424578,0.688172923
55,275,228.43,0.41,0.326,0.403,3347,1734.016659,0.317733703
56,278,283.159214,0.7088834,0.566167181,0.560190487,875,446.2148489,0.676548514
57,289,365.68,0.203,0.171,0.187,6819,3494.143168,0.181348963
