BNS_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,
33,298.21,0.22,0.18,0.22,5220,
40,103.48,0.64,0.37,0.64,4867,
55,228.32,0.32,0.27,0.32,6234,
77,214.84,0.22,0.15,0.22,4179,
88,424.51,0.19,0.17,0.18,4775,
111,320.88,0.51,0.46,0.48,4914,
81,364.04,0.115,0.089,0.101,8916,
160,167.54,0.925,0.868,0.854,212,
238,419.03,0.181,0.156,0.158,6024,
8,209.48,0.729,0.666,0.71,558,
334,208.73,0.628,0.539,0.622,1037,
289,365.68,0.203,0.171,0.187,6819,
237,410.66,0.196,0.184,0.179,9310,
560,292.41,0.397,0.369,0.382,2507,
550,342.41,0.543,0.513,0.526,3015,
500,232.08,0.519,0.45,0.507,3053,0.985
727,80.02,0.861,0.588,0.837,644,
737,405.27,0.335,0.311,0.316,9450,
765,167.06,0.609,0.489,0.596,6311,0.98
347,115.88,0.549,0.353,0.535,1834,
358,252.49,0.234,0.197,0.226,8574,
415,130.24,0.322,0.139,0.183,3672,
448,424.31,0.198,0.177,0.183,5865,
977,395.47,0.216,0.2,0.207,5266,
