NSBH_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
9,176.8985556,0.600336792,0.549278582,0.585951577,3729,2931.54212,0.558134034
10,437.1430244,0.141461142,0.121218395,0.126929588,5166,2967.513652,0.130286367
13,472.5972365,0.718819728,0.677131596,0.671048705,1460,933.7648299,0.712767565
14,292.4742767,0.359172692,0.181815416,0.257412516,2608,1372.19,0.334254812
15,278.6666161,0.661671884,0.619145225,0.643371792,1710,763.8081955,0.641516043
26,606.6439392,0.429216488,0.382508668,0.373063702,1138,475.2097655,0.413324963
31,263.1861046,0.215736532,0.144089956,0.210201151,4267,2307.580958,0.160688596
34,380.7204668,0.120527895,0.102013703,0.106273611,4444,2390.093855,0.107264933
36,691.2743447,0.518131609,0.483147949,0.477853506,4187,2002.97041,0.516183831
38,443.7439798,0.573002257,0.538656209,0.546641505,5047,2143.722305,0.542742461
41,527.3866791,0.202133327,0.144125995,0.158043976,4626,2478.258859,0.152184618
56,542.19,0.161,0.144,0.147,5971,3277.868105,0.149289877
58,433.875502,0.415282384,0.32968924,0.390524726,3271,1920.405057,0.403057143
62,623.9711515,0.415433837,0.389022817,0.384823195,3137,1706.254452,0.40225764
65,145.7916845,0.504553113,0.339540277,0.501083632,3571,2149.046563,0.378516257
69,622.73,0.561,0.514,0.513,2018,1145.345103,0.5565384
74,760.43,0.172,0.123,0.118,5413,3131.306736,0.160927945
76,337.5437614,0.238460345,0.20581724,0.21406365,3145,1392.647743,0.220643474
77,882.69,0.427,0.201,0.167,7513,4149.197477,0.407794115
78,231.1087454,0.597018846,0.522046382,0.592185932,851,353.6435617,0.539391435
81,703.66,0.776,0.757,0.755,789,573.4987296,0.768727135
83,538.4225632,0.876720879,0.862011563,0.861696713,1624,1112.861879,0.874356002
84,820.7834717,0.494390085,0.465762802,0.440117304,2686,1693.389679,0.490640804
103,362.8497658,0.753533505,0.700564828,0.734481442,462,188.5653122,0.731437907
116,837.787228,0.759864018,0.719486007,0.712965535,1988,516.7678345,0.740877337
120,855.55,0.106,0.076,0.069,8762,5001.996854,0.09895752
122,209.2616977,0.666668827,0.276713576,0.277945502,692,403.0831074,0.529721256
127,358.6080663,0.335661288,0.302043069,0.300875992,2092,868.9557491,0.318735628
128,428.4160716,0.242141549,0.194070139,0.203093215,5291,2335.382506,0.220257247
131,447.9133887,0.181278311,0.155991416,0.163558423,4107,2322.084973,0.1635403
133,554.1555483,0.436693216,0.392711948,0.375192728,3709,2659.690189,0.419591038
134,616.7882385,0.388278023,0.360271867,0.354954018,2600,1306.515399,0.377577904
138,459.0050543,0.827881859,0.81435303,0.807593028,896,468.8495056,0.818403964
140,363.891235,0.815229196,0.774935567,0.789791541,557,463.079373,0.809261094
141,288.257306,0.673906514,0.267502097,0.562039847,1452,329.540144,0.3767
143,382.2986765,0.280781594,0.240635557,0.256339479,2487,1011.202633,0.230117281
150,422.348303,0.788263746,0.760570906,0.745170485,1006,421.9016082,0.785368022
151,786.3239087,0.250412808,0.21279466,0.218846921,5148,3002.895056,0.246919701
157,297.4540051,0.771636429,0.748195423,0.758255349,3834,1186.457298,0.74563756
161,780.864668,0.563006452,0.540791957,0.547529821,5478,2323.17343,0.5615955
163,490.1222425,0.334973995,0.263374544,0.2772936,2434,1399.873523,0.321167217
166,582.4883815,0.261823458,0.199687591,0.191152408,7774,3744.606267,0.251889406
171,431.7953184,0.48762363,0.218487292,0.215149123,4938,2086.414396,0.467331638
175,792.5875733,0.262492521,0.211843808,0.199995726,5852,2834.328499,0.250643434
176,397.6595155,0.278417038,0.224244613,0.23533911,5197,2861.815313,0.268998645
,,,,,,,
188,636.4695898,0.451769484,0.427653856,0.424578023,3153,2026.890233,0.44589457
193,477.3835957,0.674693766,0.65468611,0.652835204,492,388.8020291,0.665786696
194,343.8694785,0.311987055,0.275438244,0.2983676,2877,1294.568602,0.268355552
198,647.7161275,0.817629258,0.781884595,0.778666451,401,160.9867009,0.810989068
202,561.3957923,0.697783497,0.663047733,0.649645963,1512,679.5904867,0.693470305
204,497.0603441,0.397580401,0.329153288,0.3195506,3070,1753.438401,0.387839397
209,304.2693584,0.324890796,0.293828412,0.309147343,5363,2406.289568,0.305193552
221,488.0468397,0.449717192,0.410262783,0.414253854,3785,2809.084169,0.43031249
228,288.1643964,0.575494341,0.528835456,0.556985045,1026,478.8685542,0.518043915
230,306.4424699,0.31970493,0.253041873,0.295029643,2161,894.1476237,0.286439098
238,495.5724969,0.308866482,0.273699097,0.267564568,3167,1766.381857,0.290600803
247,445.5727885,0.455621236,0.421509579,0.415982241,6179,2528.472127,0.447904634
251,269.2021651,0.151235963,0.127110686,0.146937807,5204,2784.666017,0.120526609
257,375.9207334,0.197906909,0.16340735,0.174862554,5765,3283.271047,0.183489364
