,Tile No,RA_Center,DEC_Center
0,0,0.0,-33.0
1,1,0.8470588235294118,-33.0
2,2,1.6941176470588235,-33.0
3,3,2.541176470588235,-33.0
4,4,3.388235294117647,-33.0
5,5,4.235294117647059,-33.0
6,6,5.08235294117647,-33.0
7,7,5.929411764705883,-33.0
8,8,6.776470588235294,-33.0
9,9,7.623529411764705,-33.0
10,10,8.470588235294118,-33.0
11,11,9.31764705882353,-33.0
12,12,10.16470588235294,-33.0
13,13,11.011764705882353,-33.0
14,14,11.858823529411765,-33.0
15,15,12.705882352941176,-33.0
16,16,13.552941176470588,-33.0
17,17,14.4,-33.0
18,18,15.24705882352941,-33.0
19,19,16.094117647058823,-33.0
20,20,16.941176470588236,-33.0
21,21,17.788235294117648,-33.0
22,22,18.63529411764706,-33.0
23,23,19.48235294117647,-33.0
24,24,20.32941176470588,-33.0
25,25,21.176470588235293,-33.0
26,26,22.023529411764706,-33.0
27,27,22.870588235294118,-33.0
28,28,23.71764705882353,-33.0
29,29,24.56470588235294,-33.0
30,30,25.41176470588235,-33.0
31,31,26.258823529411764,-33.0
32,32,27.105882352941176,-33.0
33,33,27.95294117647059,-33.0
34,34,28.8,-33.0
35,35,29.647058823529413,-33.0
36,36,30.49411764705882,-33.0
37,37,31.341176470588234,-33.0
38,38,32.188235294117646,-33.0
39,39,33.035294117647055,-33.0
40,40,33.88235294117647,-33.0
41,41,34.72941176470588,-33.0
42,42,35.576470588235296,-33.0
43,43,36.423529411764704,-33.0
44,44,37.27058823529412,-33.0
45,45,38.11764705882353,-33.0
46,46,38.96470588235294,-33.0
47,47,39.811764705882354,-33.0
48,48,40.65882352941176,-33.0
49,49,41.50588235294118,-33.0
50,50,42.35294117647059,-33.0
51,51,43.2,-33.0
52,52,44.04705882352941,-33.0
53,53,44.89411764705882,-33.0
54,54,45.741176470588236,-33.0
55,55,46.588235294117645,-33.0
56,56,47.43529411764706,-33.0
57,57,48.28235294117647,-33.0
58,58,49.12941176470588,-33.0
59,59,49.976470588235294,-33.0
60,60,50.8235294117647,-33.0
61,61,51.67058823529412,-33.0
62,62,52.51764705882353,-33.0
63,63,53.36470588235294,-33.0
64,64,54.21176470588235,-33.0
65,65,55.05882352941176,-33.0
66,66,55.90588235294118,-33.0
67,67,56.752941176470586,-33.0
68,68,57.6,-33.0
69,69,58.44705882352941,-33.0
70,70,59.294117647058826,-33.0
71,71,60.141176470588235,-33.0
72,72,60.98823529411764,-33.0
73,73,61.83529411764706,-33.0
74,74,62.68235294117647,-33.0
75,75,63.529411764705884,-33.0
76,76,64.37647058823529,-33.0
77,77,65.2235294117647,-33.0
78,78,66.07058823529411,-33.0
79,79,66.91764705882353,-33.0
80,80,67.76470588235294,-33.0
81,81,68.61176470588235,-33.0
82,82,69.45882352941176,-33.0
83,83,70.30588235294118,-33.0
84,84,71.15294117647059,-33.0
85,85,72.0,-33.0
86,86,72.84705882352941,-33.0
87,87,73.69411764705882,-33.0
88,88,74.54117647058824,-33.0
89,89,75.38823529411765,-33.0
90,90,76.23529411764706,-33.0
91,91,77.08235294117647,-33.0
92,92,77.92941176470588,-33.0
93,93,78.7764705882353,-33.0
94,94,79.62352941176471,-33.0
95,95,80.47058823529412,-33.0
96,96,81.31764705882352,-33.0
97,97,82.16470588235293,-33.0
98,98,83.01176470588236,-33.0
99,99,83.85882352941177,-33.0
100,100,84.70588235294117,-33.0
101,101,85.55294117647058,-33.0
102,102,86.4,-33.0
103,103,87.24705882352941,-33.0
104,104,88.09411764705882,-33.0
105,105,88.94117647058823,-33.0
106,106,89.78823529411764,-33.0
107,107,90.63529411764706,-33.0
108,108,91.48235294117647,-33.0
109,109,92.32941176470588,-33.0
110,110,93.17647058823529,-33.0
111,111,94.0235294117647,-33.0
112,112,94.87058823529412,-33.0
113,113,95.71764705882353,-33.0
114,114,96.56470588235294,-33.0
115,115,97.41176470588235,-33.0
116,116,98.25882352941176,-33.0
117,117,99.10588235294118,-33.0
118,118,99.95294117647059,-33.0
119,119,100.8,-33.0
120,120,101.6470588235294,-33.0
121,121,102.49411764705883,-33.0
122,122,103.34117647058824,-33.0
123,123,104.18823529411765,-33.0
124,124,105.03529411764706,-33.0
125,125,105.88235294117646,-33.0
126,126,106.72941176470589,-33.0
127,127,107.5764705882353,-33.0
128,128,108.4235294117647,-33.0
129,129,109.27058823529411,-33.0
130,130,110.11764705882352,-33.0
131,131,110.96470588235294,-33.0
132,132,111.81176470588235,-33.0
133,133,112.65882352941176,-33.0
134,134,113.50588235294117,-33.0
135,135,114.35294117647058,-33.0
136,136,115.2,-33.0
137,137,116.04705882352941,-33.0
138,138,116.89411764705882,-33.0
139,139,117.74117647058823,-33.0
140,140,118.58823529411765,-33.0
141,141,119.43529411764706,-33.0
142,142,120.28235294117647,-33.0
143,143,121.12941176470588,-33.0
144,144,121.97647058823529,-33.0
145,145,122.82352941176471,-33.0
146,146,123.67058823529412,-33.0
147,147,124.51764705882353,-33.0
148,148,125.36470588235294,-33.0
149,149,126.21176470588235,-33.0
150,150,127.05882352941177,-33.0
151,151,127.90588235294118,-33.0
152,152,128.75294117647059,-33.0
153,153,129.6,-33.0
154,154,130.4470588235294,-33.0
155,155,131.2941176470588,-33.0
156,156,132.14117647058822,-33.0
157,157,132.98823529411766,-33.0
158,158,133.83529411764707,-33.0
159,159,134.68235294117648,-33.0
160,160,135.52941176470588,-33.0
161,161,136.3764705882353,-33.0
162,162,137.2235294117647,-33.0
163,163,138.0705882352941,-33.0
164,164,138.91764705882352,-33.0
165,165,139.76470588235293,-33.0
